,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,labels
1316,0.487,0.623,7,-7.388,1,0.464,0.375,0.0,0.308,0.894,200.155,audio_features,3LjEaWzh33DiR8MtrVbJnI,spotify:track:3LjEaWzh33DiR8MtrVbJnI,https://api.spotify.com/v1/tracks/3LjEaWzh33DiR8MtrVbJnI,https://api.spotify.com/v1/audio-analysis/3LjEaWzh33DiR8MtrVbJnI,200550,4,8
1317,0.663,0.319,2,-12.084,0,0.44,0.346,4.26e-05,0.101,0.339,74.257,audio_features,2RDxknE7XXkyZCO2p1WGcJ,spotify:track:2RDxknE7XXkyZCO2p1WGcJ,https://api.spotify.com/v1/tracks/2RDxknE7XXkyZCO2p1WGcJ,https://api.spotify.com/v1/audio-analysis/2RDxknE7XXkyZCO2p1WGcJ,160157,1,4
1318,0.793,0.449,10,-9.243,1,0.136,0.415,2.02e-06,0.0642,0.46,109.982,audio_features,79nopNMm3rJSUfQfMkG0Ur,spotify:track:79nopNMm3rJSUfQfMkG0Ur,https://api.spotify.com/v1/tracks/79nopNMm3rJSUfQfMkG0Ur,https://api.spotify.com/v1/audio-analysis/79nopNMm3rJSUfQfMkG0Ur,228000,4,4
1319,0.728,0.707,3,-7.082,0,0.306,0.143,0.218,0.0371,0.781,177.905,audio_features,1XCpTCBHoG6JFzQA1mm5EX,spotify:track:1XCpTCBHoG6JFzQA1mm5EX,https://api.spotify.com/v1/tracks/1XCpTCBHoG6JFzQA1mm5EX,https://api.spotify.com/v1/audio-analysis/1XCpTCBHoG6JFzQA1mm5EX,196517,4,8
1320,0.483,0.387,8,-8.583,1,0.0344,0.432,0.0,0.132,0.122,116.799,audio_features,3uNGr2orGe0azv5kPR2BUQ,spotify:track:3uNGr2orGe0azv5kPR2BUQ,https://api.spotify.com/v1/tracks/3uNGr2orGe0azv5kPR2BUQ,https://api.spotify.com/v1/audio-analysis/3uNGr2orGe0azv5kPR2BUQ,251938,4,5
1321,0.667,0.508,5,-10.337,1,0.451,0.341,0.0,0.644,0.093,89.436,audio_features,3I0FBDc1c1BLNtXWKVjmFg,spotify:track:3I0FBDc1c1BLNtXWKVjmFg,https://api.spotify.com/v1/tracks/3I0FBDc1c1BLNtXWKVjmFg,https://api.spotify.com/v1/audio-analysis/3I0FBDc1c1BLNtXWKVjmFg,258827,3,2
1322,0.813,0.549,5,-12.427,0,0.269,0.608,1e-06,0.129,0.562,103.914,audio_features,2fgAJeky8Cpsr8Cfvn2NVp,spotify:track:2fgAJeky8Cpsr8Cfvn2NVp,https://api.spotify.com/v1/tracks/2fgAJeky8Cpsr8Cfvn2NVp,https://api.spotify.com/v1/audio-analysis/2fgAJeky8Cpsr8Cfvn2NVp,154347,4,4
1323,0.512,0.128,4,-21.49,0,0.252,0.864,0.0,0.512,0.219,103.056,audio_features,1U13SSgDOxK98L1FTWYrjQ,spotify:track:1U13SSgDOxK98L1FTWYrjQ,https://api.spotify.com/v1/tracks/1U13SSgDOxK98L1FTWYrjQ,https://api.spotify.com/v1/audio-analysis/1U13SSgDOxK98L1FTWYrjQ,110067,4,1
1324,0.669,0.541,4,-11.291,0,0.0461,0.0992,7.69e-06,0.254,0.645,89.083,audio_features,4M2t7bP4Mq87mGMn0PObUX,spotify:track:4M2t7bP4Mq87mGMn0PObUX,https://api.spotify.com/v1/tracks/4M2t7bP4Mq87mGMn0PObUX,https://api.spotify.com/v1/audio-analysis/4M2t7bP4Mq87mGMn0PObUX,208013,4,4
1325,0.567,0.463,6,-11.669,0,0.504,0.732,0.0,0.709,0.324,126.982,audio_features,40IQooNkPRVtn4zlE3ZFpA,spotify:track:40IQooNkPRVtn4zlE3ZFpA,https://api.spotify.com/v1/tracks/40IQooNkPRVtn4zlE3ZFpA,https://api.spotify.com/v1/audio-analysis/40IQooNkPRVtn4zlE3ZFpA,496173,4,2
1326,0.85,0.524,11,-9.375,0,0.204,0.25,2.46e-06,0.114,0.686,120.004,audio_features,5bBUDJUfGcG7eFy3Bf4fXv,spotify:track:5bBUDJUfGcG7eFy3Bf4fXv,https://api.spotify.com/v1/tracks/5bBUDJUfGcG7eFy3Bf4fXv,https://api.spotify.com/v1/audio-analysis/5bBUDJUfGcG7eFy3Bf4fXv,235507,4,0
1327,0.569,0.758,10,-5.77,0,0.0937,0.0167,0.0,0.317,0.569,74.939,audio_features,2prmi5njAe1nHkxFWh3Hbm,spotify:track:2prmi5njAe1nHkxFWh3Hbm,https://api.spotify.com/v1/tracks/2prmi5njAe1nHkxFWh3Hbm,https://api.spotify.com/v1/audio-analysis/2prmi5njAe1nHkxFWh3Hbm,159573,4,3
1328,0.579,0.544,9,-5.193,1,0.352,0.292,7.41e-05,0.282,0.365,93.562,audio_features,3RKblQNJs8HPvWBgXmq6nn,spotify:track:3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/tracks/3RKblQNJs8HPvWBgXmq6nn,https://api.spotify.com/v1/audio-analysis/3RKblQNJs8HPvWBgXmq6nn,178040,4,9
1329,0.506,0.59,1,-4.322,1,0.076,0.165,1.09e-05,0.096,0.359,141.099,audio_features,4cAgkb0ifwn0FSHGXnr4F6,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6,256093,4,8
1330,0.481,0.805,5,-4.132,1,0.0419,0.0261,0.0,0.269,0.373,123.441,audio_features,1xHflEg6AlgDQJUtAJ4BS1,spotify:track:1xHflEg6AlgDQJUtAJ4BS1,https://api.spotify.com/v1/tracks/1xHflEg6AlgDQJUtAJ4BS1,https://api.spotify.com/v1/audio-analysis/1xHflEg6AlgDQJUtAJ4BS1,201373,4,9
1331,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,audio_features,3rCNmRonlHN1TXQLcG3dSk,spotify:track:3rCNmRonlHN1TXQLcG3dSk,https://api.spotify.com/v1/tracks/3rCNmRonlHN1TXQLcG3dSk,https://api.spotify.com/v1/audio-analysis/3rCNmRonlHN1TXQLcG3dSk,327787,4,8
